scene,attempt,episode,score,seconds,arm,note
1,1,0001_put-the-dice-in-the-bowl,3,,left,dropped
1,2,0002_put-the-dice-in-the-bowl,3,,left,
1,3,0003_put-the-dice-in-the-bowl,3,,left,
2,1,0004_put-the-dice-in-the-bowl,3,,right,
2,2,0005_put-the-dice-in-the-bowl,3,,right,
2,3,0006_put-the-dice-in-the-bowl,3,,right,
3,1,0007_put-the-dice-in-the-bowl,2,,left,does not reach the dice
3,2,0008_put-the-dice-in-the-bowl,2,,left,does not reach the dice
3,3,0009_put-the-dice-in-the-bowl,2,,left,did not reach the dice
